CREATED_DT,Business Waste ,Case Resolved : Bin Delivered,Case Resolved : Completed Collection ,Domestic Bins ,Email Awaiting Further Information,Email Information Only,Garden Waste ,Household Waste Permit ,Information Only,Out Of Borough Search,Recycled Waste ,Registrars ,"Registrars Copy Birth Cert, post ",Residual Waste ,Special Collection (Awaiting Collection),Special Collections ,Street Lighting Repair,Tree Felling/Pruning/Cutting/Removal
2020-03-01,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,4,18,52,8,1,0,3,14,373,19,20,4,3,9,0,40,1,2
2020-03-03,2,20,34,15,4,38,1,24,386,24,13,5,4,9,2,20,9,3
2020-03-04,4,24,32,11,11,70,2,18,343,20,37,8,3,10,2,25,12,6
2020-03-05,3,17,19,10,4,34,1,27,368,23,20,4,1,18,1,12,12,0
2020-03-06,2,14,33,5,2,39,1,47,268,26,14,7,3,13,2,24,4,2
2020-03-07,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,6,16,41,4,0,5,4,17,321,23,12,11,4,11,1,16,3,2
2020-03-10,6,24,36,3,7,25,2,60,342,27,24,13,5,22,0,21,12,5
2020-03-11,4,15,33,10,3,39,4,37,398,23,24,9,8,15,0,28,4,2
2020-03-12,2,19,19,5,3,17,4,35,325,19,28,9,5,12,0,14,5,4
2020-03-13,3,12,23,3,2,47,2,80,360,25,24,5,3,14,1,17,3,1
2020-03-14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-16,3,15,37,5,1,26,17,21,364,19,9,4,2,8,1,27,2,1
2020-03-17,4,16,35,9,3,36,4,27,385,14,29,5,3,12,1,26,5,0
2020-03-18,6,3,17,1,7,20,3,27,362,15,30,1,1,15,2,17,6,4
2020-03-19,3,22,9,1,2,24,8,46,362,15,42,2,1,21,8,15,0,3
2020-03-20,2,14,17,1,0,15,11,52,295,16,24,2,1,4,14,24,1,0
2020-03-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
2020-03-22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
2020-03-23,2,8,9,8,1,3,13,7,265,13,11,5,2,5,35,24,2,0
2020-03-24,1,8,0,6,0,20,7,0,389,6,9,1,0,6,10,8,2,0
2020-03-25,0,6,0,6,0,23,4,0,314,2,17,2,2,8,0,1,2,1
2020-03-26,1,5,0,5,0,45,6,0,205,3,24,2,2,10,0,0,2,0
2020-03-27,4,13,0,6,0,30,11,0,169,8,12,0,0,14,0,0,3,0
2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,13,0,9,0,10,4,0,155,5,8,2,1,6,0,0,0,0
2020-03-31,1,23,0,10,3,15,6,0,80,6,11,2,1,16,0,0,0,0
2020-04-01,3,9,0,2,44,54,9,0,59,0,12,1,0,13,0,0,2,1
2020-04-02,4,25,0,8,8,52,15,0,65,5,29,0,0,27,0,0,1,1
2020-04-03,2,13,0,5,0,22,7,0,66,2,19,1,1,21,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,1,14,0,7,3,33,21,0,22,7,7,3,2,9,0,0,0,0
2020-04-07,4,20,0,6,5,58,11,0,17,6,11,2,2,9,0,0,2,0
2020-04-08,3,12,0,7,2,41,10,0,21,10,17,3,1,15,0,0,1,1
2020-04-09,2,13,0,0,6,75,7,0,10,1,8,0,0,10,0,0,3,0
2020-04-10,0,0,0,0,0,6,1,0,0,0,2,0,0,1,0,0,0,0
2020-04-11,1,2,0,0,0,6,2,0,1,0,1,0,0,0,0,0,0,0
2020-04-13,1,1,0,0,2,55,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-14,4,30,0,13,5,39,8,0,38,3,19,0,0,16,0,0,10,1
2020-04-15,5,19,0,3,7,37,6,0,18,8,29,4,4,28,0,1,1,2
2020-04-16,2,15,0,7,12,67,5,0,46,6,29,0,0,33,0,0,3,0
2020-04-17,2,24,0,8,7,30,4,0,41,4,21,1,0,35,0,0,4,0
2020-04-19,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
