CREATED_DT,Active Kidz ,Animal Fouling ,Assisted Collection (NEW REQUEST),Bin Checker Request,Blocked Road Drains Causing Floods,Bulky Waste Collection,Business Waste ,Case Resolved : Bin Delivered,Case Resolved : Completed Collection ,Dead Animal Removal ,Dog Warden ,Domestic Bins ,Dropped Kerb ,Email Awaiting Further Information,Email Information Only,Exception_Form,Fallen Tree Removal,Garden Waste ,Graffiti ,Grasscutting ,Hedgecutting,Homecare ,Household Bins ,Household Waste Permit ,Information Only,Litter ,Litter Bin ,Out Of Borough Search,PCN ,Paving Stone Checks,Pest Control ,Potholes ,Recycled Waste ,Registrars ,"Registrars Copy Birth Cert, post ",Residual Waste ,Road/Footpath ,Self Service Litter Removal,Self Service Street Sweeping,Special Collection (Awaiting Collection),Special Collection (Rejected Quote),Special Collections ,Special Collections Itemised (Retained Quote),Spillage/Debris on Highway,Street Lighting Repair,Street Sweeping,Syringe Removal ,Tree ,Tree Felling/Pruning/Cutting/Removal,Weeds ,Winter Service Request 
2019-03-01,0,3,5,0,1,3,3,21,0,1,1,8,0,4,64,0,0,76,1,1,0,0,0,34,252,3,1,26,7,3,5,3,26,19,5,11,0,1,2,33,2,29,5,0,7,5,0,2,3,0,1
2019-03-02,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
2019-03-03,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,0,0,0,0,0,0,0,0,0,0,0
2019-03-04,0,4,2,1,0,5,11,21,0,0,1,9,1,1,42,7,0,103,0,0,0,0,3,46,425,0,1,20,6,0,18,5,10,12,4,11,1,0,0,41,2,29,1,1,8,3,1,1,4,0,0
2019-03-05,0,4,7,0,1,6,3,15,0,0,0,5,2,8,96,3,0,73,1,0,0,0,0,65,392,2,0,34,2,5,14,6,19,13,3,6,2,1,0,38,5,16,2,0,12,2,1,1,4,1,1
2019-03-06,0,1,1,0,1,5,6,12,0,1,3,3,1,3,70,0,0,65,1,0,0,0,0,28,349,2,1,21,8,1,11,0,23,12,5,10,0,3,0,28,1,23,4,0,6,3,0,1,4,0,1
2019-03-07,0,1,2,0,2,9,3,14,0,0,4,1,3,1,53,0,0,50,1,0,0,0,1,36,334,3,1,21,7,1,5,4,32,8,4,19,2,1,1,26,1,17,1,2,5,1,2,2,1,0,0
2019-03-08,0,7,1,0,0,2,1,21,0,1,1,6,0,3,32,3,1,364,0,0,1,1,1,22,332,2,1,32,5,0,4,3,25,14,5,15,2,1,0,15,1,13,1,2,7,3,2,0,1,0,0
2019-03-09,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0
2019-03-10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
