,CREATED_DT,CASE_REFERENCE,3-day Avg,5-day Avg,7-day Avg,10-day Avg,day
0,2019-01-01,124,,,,,1
1,2019-01-02,985,,,,,2
2,2019-01-03,1170,759.67,,,,3
3,2019-01-04,1050,1068.33,,,,4
4,2019-01-05,131,783.67,692.0,,,5
5,2019-01-06,157,446.0,698.6,,,6
6,2019-01-07,1390,559.33,779.6,715.29,,7
7,2019-01-08,1462,1003.0,838.0,906.43,,8
8,2019-01-09,1178,1343.33,863.6,934.0,,9
9,2019-01-10,1060,1233.33,1049.4,918.29,870.7,10
10,2019-01-11,902,1046.67,1198.4,897.14,948.5,11
11,2019-01-12,124,695.33,945.2,896.14,862.4,12
12,2019-01-13,152,392.67,683.2,895.43,760.6,13
13,2019-01-14,1249,508.33,697.4,875.29,780.5,14
14,2019-01-15,1234,878.33,732.2,842.71,890.8,15
15,2019-01-16,1059,1180.67,763.6,825.71,981.0,16
16,2019-01-17,1024,1105.67,943.6,820.57,944.4,17
17,2019-01-18,961,1014.67,1105.4,829.0,894.3,18
18,2019-01-19,104,696.33,876.4,826.14,786.9,19
19,2019-01-20,130,398.33,655.6,823.0,693.9,20
20,2019-01-21,1253,495.67,694.4,823.57,729.0,21
21,2019-01-22,1271,884.67,743.8,828.86,843.7,22
22,2019-01-23,1074,1199.33,766.4,831.0,935.9,23
23,2019-01-24,1269,1204.67,999.4,866.0,937.9,24
24,2019-01-25,1217,1186.67,1216.8,902.57,936.2,25
25,2019-01-26,194,893.33,1005.0,915.43,849.7,26
26,2019-01-27,252,554.33,801.2,932.86,772.5,27
27,2019-01-28,1409,618.33,868.2,955.14,817.3,28
28,2019-01-29,1399,1020.0,894.2,973.43,946.8,29
29,2019-01-30,2163,1657.0,1083.4,1129.0,1150.1,30
30,2019-01-31,1680,1747.33,1380.6,1187.71,1192.8,31
31,2019-02-01,789,1544.0,1488.0,1126.57,1144.6,32
32,2019-02-02,42,837.0,1214.6,1104.86,1041.4,33
33,2019-02-03,50,293.67,944.8,1076.0,919.5,34
34,2019-02-04,914,335.33,695.0,1005.29,889.2,35
35,2019-02-05,766,576.67,512.2,914.86,946.4,36
36,2019-02-06,686,788.67,491.6,703.86,989.8,37
37,2019-02-07,672,708.0,617.6,559.86,916.1,38
38,2019-02-08,556,638.0,718.8,526.57,831.8,39
39,2019-02-09,28,418.67,541.6,524.57,618.3,40
40,2019-02-10,62,215.33,400.8,526.29,456.5,41
41,2019-02-11,847,312.33,433.0,516.71,462.3,42
42,2019-02-12,770,559.67,452.6,517.29,535.1,43
43,2019-02-13,716,777.67,484.6,521.57,601.7,44
44,2019-02-14,669,718.33,612.8,521.14,577.2,45
45,2019-02-15,636,673.67,727.6,532.57,564.2,46
46,2019-02-16,26,443.67,563.4,532.29,498.2,47
47,2019-02-17,62,241.33,421.8,532.29,437.2,48
48,2019-02-18,871,319.67,452.8,535.71,468.7,49
49,2019-02-19,728,553.67,464.6,529.71,538.7,50
50,2019-02-20,759,786.0,489.2,535.86,608.4,51
51,2019-02-21,624,703.67,608.8,529.43,586.1,52
52,2019-02-22,700,694.33,736.4,538.57,579.1,53
53,2019-02-23,43,455.67,570.8,541.0,511.8,54
54,2019-02-24,54,265.67,436.0,539.86,450.3,55
55,2019-02-25,891,329.33,462.4,542.71,475.8,56
56,2019-02-26,904,616.33,518.4,567.86,563.6,57
57,2019-02-27,834,876.33,545.2,578.57,640.8,58
58,2019-02-28,766,834.67,689.8,598.86,630.3,59
59,2019-03-01,700,766.67,819.0,598.86,627.5,60
60,2019-03-02,44,503.33,649.6,599.0,556.0,61
61,2019-03-03,72,272.0,483.2,601.57,500.8,62
62,2019-03-04,883,333.0,493.0,600.43,519.1,63
63,2019-03-05,901,618.67,520.0,600.0,604.9,64
64,2019-03-06,746,843.33,529.2,587.43,674.1,65
65,2019-03-07,709,785.33,662.2,579.29,655.9,66
66,2019-03-08,994,816.33,846.6,621.29,664.9,67
