CREATED_DT,CASE_REFERENCE,3-day Avg,5-day Avg,7-day Avg,10-day Avg
2020-01-01,9,,,,
2020-01-02,623,,,,
2020-01-03,639,423.67,,,
2020-01-04,12,424.67,,,
2020-01-05,12,221.0,259.0,,
2020-01-06,906,310.0,438.4,,
2020-01-07,868,595.33,487.4,438.43,
2020-01-08,941,905.0,547.8,571.57,
2020-01-09,888,899.0,723.0,609.43,
2020-01-10,813,880.67,883.2,634.29,571.1
2020-01-11,7,569.33,703.4,633.57,570.9
2020-01-12,10,276.67,531.8,633.29,509.6
2020-01-13,986,334.33,540.8,644.71,544.3
2020-01-14,894,630.0,542.0,648.43,632.5
2020-01-15,728,869.33,525.0,618.0,704.1
2020-01-16,712,778.0,666.0,592.86,684.7
2020-01-17,670,703.33,798.0,572.43,664.9
2020-01-18,6,462.67,602.0,572.29,571.4
2020-01-19,11,229.0,425.4,572.43,483.7
2020-01-20,620,212.33,403.8,520.14,464.4
2020-01-21,765,465.33,414.4,501.71,540.2
2020-01-22,711,698.67,422.6,499.29,610.3
2020-01-23,606,694.0,542.6,484.14,572.3
2020-01-24,573,630.0,655.0,470.29,540.2
2020-01-25,13,397.33,533.6,471.29,468.7
2020-01-26,8,198.0,382.2,470.86,398.3
2020-01-27,707,242.67,381.4,483.29,402.0
2020-01-28,777,497.33,415.6,485.0,479.1
2020-01-29,744,742.67,449.8,489.71,552.4
2020-01-30,759,760.0,599.0,511.57,566.3
2020-01-31,566,689.67,710.6,510.57,546.4
2020-02-01,8,444.33,570.8,509.86,476.1
2020-02-02,12,195.33,417.8,510.43,416.7
2020-02-03,866,295.33,442.2,533.14,446.0
2020-02-04,836,571.33,457.6,541.57,528.3
2020-02-05,816,839.33,507.6,551.86,609.1
2020-02-06,749,800.33,655.8,550.43,613.3
2020-02-07,551,705.33,763.6,548.29,590.7
2020-02-08,14,438.0,593.2,549.14,517.7
2020-02-09,13,192.67,428.6,549.29,443.1
2020-02-10,684,237.0,402.2,523.29,454.9
2020-02-11,795,497.33,411.4,517.43,533.6
2020-02-12,689,722.67,439.0,499.29,601.3
2020-02-13,555,679.67,547.2,471.57,570.2
2020-02-14,575,606.33,659.6,475.0,544.1
2020-02-15,12,380.67,525.2,474.71,463.7
2020-02-16,14,200.33,369.0,474.86,390.2
2020-02-17,707,244.33,372.6,478.14,405.8
2020-02-18,762,494.33,414.0,473.43,480.6
2020-02-19,740,736.33,447.0,480.71,553.3
2020-02-20,720,740.67,588.6,504.29,556.9
2020-02-21,688,716.0,723.4,520.43,546.2
2020-02-22,8,472.0,583.6,519.86,478.1
2020-02-23,16,237.33,434.4,520.14,424.2
2020-02-24,604,209.33,407.2,505.43,427.1
2020-02-25,646,422.0,392.4,488.86,490.5
